"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"CEM","ClearBridge Energy MLP Fund Inc.","15.11","$1.06B","2010","n/a","n/a","http://www.nasdaq.com/symbol/cem",
"EMO","ClearBridge Energy MLP Opportunity Fund Inc.","13.25","$413.35M","2011","n/a","n/a","http://www.nasdaq.com/symbol/emo",
"CTR","ClearBridge Energy MLP Total Return Fund Inc.","12.6","$483.84M","2012","n/a","n/a","http://www.nasdaq.com/symbol/ctr",
"CLFD","Clearfield, Inc.","19.45","$274.13M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/clfd",
"CLRO","ClearOne, Inc.","11","$97.63M","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/clro",
"CLSD","Clearside Biomedical, Inc.","21","$431.46M","2016","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clsd",
"CLIR","ClearSign Combustion Corporation","4.4","$57.01M","2012","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/clir",
"CLW","Clearwater Paper Corporation","61.15","$1.02B","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/clw",
"CBLI","Cleveland BioLabs, Inc.","1.56","$17.14M","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/cbli",
"CLF","Cliffs Natural Resources Inc.","7.65","$1.76B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/clf",
"CSBK","Clifton Bancorp Inc.","16.26","$374.74M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/csbk",
"CLX","Clorox Company (The)","113.14","$14.57B","n/a","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/clx",
"CLD","Cloud Peak Energy Inc","7.37","$452.93M","2009","Energy","Coal Mining","http://www.nasdaq.com/symbol/cld",
"GLV","Clough Global Dividend and Income Fund","11.5","$119.51M","2004","n/a","n/a","http://www.nasdaq.com/symbol/glv",
"GLQ","Clough Global Equity Fund","10.57","$186.6M","2005","n/a","n/a","http://www.nasdaq.com/symbol/glq",
"GLO","Clough Global Opportunities Fund","8.79","$453.34M","2006","n/a","n/a","http://www.nasdaq.com/symbol/glo",
"CLVS","Clovis Oncology, Inc.","35.48","$1.37B","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clvs",
"MYCC","ClubCorp Holdings, Inc.","13.25","$868.07M","2013","Consumer Services","Hotels/Resorts","http://www.nasdaq.com/symbol/mycc",
"CMFN","CM Finance Inc","9.15","$125.24M","2014","n/a","n/a","http://www.nasdaq.com/symbol/cmfn",
"CME","CME Group Inc.","115.85","$39.31B","2002","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/cme",
"CMS","CMS Energy Corporation","39.49","$11.05B","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/cms",
"CMS^B","CMS Energy Corporation","100.2501","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/cms^b",
"CNA","CNA Financial Corporation","38.59","$10.44B","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/cna",
"CCNE","CNB Financial Corporation","23.29","$336.91M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ccne",
"CNHI","CNH Industrial N.V.","7.89","$10.75B","2013","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/cnhi",
"CISG","CNinsure Inc.","8.61","$497.25M","2007","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/cisg",
"CNO","CNO Financial Group, Inc.","17.64","$3.06B","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/cno",
"CEO","CNOOC Limited","122.45","$1.26B","2001","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ceo",
"CNV","Cnova N.V.","5.45","$2.41B","2014","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/cnv",
"CNXC","CNX Coal Resources LP","20.3","$471.56M","2015","Energy","Coal Mining","http://www.nasdaq.com/symbol/cnxc",
"COH","Coach, Inc.","37.98","$10.65B","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/coh",
"CWAY","Coastway Bancorp, Inc.","13.65","$60.97M","2014","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cway",
"CIE","Cobalt International Energy, Inc.","1.24","$508.8M","2009","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cie",
"COBZ","CoBiz Financial Inc.","15","$622.39M","1998","Finance","Major Banks","http://www.nasdaq.com/symbol/cobz",
"KOF","Coca Cola Femsa S.A.B. de C.V.","64.22","$13.31B","1993","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/kof",
"COKE","Coca-Cola Bottling Co. Consolidated","164.745","$1.53B","1972","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/coke",
"KO","Coca-Cola Company (The)","41.17","$177.56B","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/ko",
"CCE","Coca-Cola European Partners plc","35.07","$16.92B","2016","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/cce",
"CDXS","Codexis, Inc.","4.9","$201.98M","2010","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/cdxs",
"CVLY","Codorus Valley Bancorp, Inc","21.5","$180.19M","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/cvly",
"CDE","Coeur Mining, Inc.","9.23","$1.57B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/cde",
"JVA","Coffee Holding Co., Inc.","5.0536","$30.45M","2005","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/jva",
"CCOI","Cogent Communications Holdings, Inc.","38.4","$1.75B","n/a","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/ccoi",
"CGNT","Cogentix Medical, Inc.","2.36","$61.7M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cgnt",
"COGT","Cogint, Inc.","3.45","$174.79M","n/a","Consumer Services","Advertising","http://www.nasdaq.com/symbol/cogt",
"CGNX","Cognex Corporation","57.22","$4.9B","1989","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cgnx",
"CTSH","Cognizant Technology Solutions Corporation","53.95","$32.73B","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/ctsh",
"FOF","Cohen & Steers Closed-End Opportunity Fund, Inc.","11.24","$305.83M","2006","n/a","n/a","http://www.nasdaq.com/symbol/fof",
"INB","Cohen & Steers Global Income Builder, Inc.","8.45","$195.55M","2007","n/a","n/a","http://www.nasdaq.com/symbol/inb",
"CNS","Cohen & Steers Inc","33.69","$1.55B","2004","Finance","Investment Managers","http://www.nasdaq.com/symbol/cns",
"UTF","Cohen & Steers Infrastructure Fund, Inc","19.17","$1.64B","2004","n/a","n/a","http://www.nasdaq.com/symbol/utf",
"LDP","Cohen & Steers Limited Duration Preferred and Income Fund, Inc","22.76","$656.18M","2012","n/a","n/a","http://www.nasdaq.com/symbol/ldp",
"MIE","Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.","10.09","$270.34M","2013","n/a","n/a","http://www.nasdaq.com/symbol/mie",
"RQI","Cohen & Steers Quality Income Realty Fund Inc","11.68","$1.28B","2002","n/a","n/a","http://www.nasdaq.com/symbol/rqi",
